# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-10-19 03:21:15 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11519500 SCOTT R NR FORT JONES CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11519500
#            TS   parameter     statistic     Description
#         11850       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11850_00060_00003	11850_00060_00003_cd
USGS	11519500	2019-07-12	98.2	A
USGS	11519500	2019-07-13	94.1	A
USGS	11519500	2019-07-14	87.3	A
USGS	11519500	2019-07-15	83.8	A
USGS	11519500	2019-07-16	81.3	A
USGS	11519500	2019-07-17	77.8	A
USGS	11519500	2019-07-18	73.8	A
USGS	11519500	2019-07-19	69.8	A
USGS	11519500	2019-07-20	64.7	A
USGS	11519500	2019-07-21	62.3	A
USGS	11519500	2019-07-22	59.4	A
USGS	11519500	2019-07-23	58.0	A
USGS	11519500	2019-07-24	56.3	A
USGS	11519500	2019-07-25	54.9	A
USGS	11519500	2019-07-26	52.5	A
USGS	11519500	2019-07-27	50.2	A
USGS	11519500	2019-07-28	47.6	A
USGS	11519500	2019-07-29	44.1	A
USGS	11519500	2019-07-30	41.0	A
USGS	11519500	2019-07-31	36.4	A
USGS	11519500	2019-08-01	32.7	A
USGS	11519500	2019-08-02	30.8	A
USGS	11519500	2019-08-03	27.8	A
USGS	11519500	2019-08-04	24.9	A
USGS	11519500	2019-08-05	21.9	A
USGS	11519500	2019-08-06	19.8	A
USGS	11519500	2019-08-07	17.3	A
USGS	11519500	2019-08-08	14.9	A
USGS	11519500	2019-08-09	15.0	A
USGS	11519500	2019-08-10	19.5	A
USGS	11519500	2019-08-11	24.4	A
USGS	11519500	2019-08-12	28.7	A
USGS	11519500	2019-08-13	27.4	A
USGS	11519500	2019-08-14	25.4	A
USGS	11519500	2019-08-15	21.8	A
USGS	11519500	2019-08-16	18.7	A
USGS	11519500	2019-08-17	19.7	A
USGS	11519500	2019-08-18	21.3	A
USGS	11519500	2019-08-19	23.2	A
USGS	11519500	2019-08-20	19.8	A
USGS	11519500	2019-08-21	16.4	A
USGS	11519500	2019-08-22	15.1	A
USGS	11519500	2019-08-23	13.6	A
USGS	11519500	2019-08-24	12.0	A
USGS	11519500	2019-08-25	11.4	A
USGS	11519500	2019-08-26	13.2	A
USGS	11519500	2019-08-27	11.4	A
USGS	11519500	2019-08-28	11.2	A
USGS	11519500	2019-08-29	11.4	A
USGS	11519500	2019-08-30	10.3	A
USGS	11519500	2019-08-31	9.24	A
USGS	11519500	2019-09-01	11.4	A
USGS	11519500	2019-09-02	11.7	A
USGS	11519500	2019-09-03	12.3	A
USGS	11519500	2019-09-04	12.7	A
USGS	11519500	2019-09-05	14.3	A
USGS	11519500	2019-09-06	14.7	A
USGS	11519500	2019-09-07	13.6	A
USGS	11519500	2019-09-08	13.5	A
USGS	11519500	2019-09-09	13.6	A
USGS	11519500	2019-09-10	13.9	A
USGS	11519500	2019-09-11	15.2	A
USGS	11519500	2019-09-12	16.3	A
USGS	11519500	2019-09-13	17.7	A
USGS	11519500	2019-09-14	18.3	A
USGS	11519500	2019-09-15	20.6	A
USGS	11519500	2019-09-16	23.5	A
USGS	11519500	2019-09-17	25.2	A
USGS	11519500	2019-09-18	28.0	A
USGS	11519500	2019-09-19	30.3	A
USGS	11519500	2019-09-20	32.5	A
USGS	11519500	2019-09-21	34.1	A
USGS	11519500	2019-09-22	35.1	A
USGS	11519500	2019-09-23	35.0	A
USGS	11519500	2019-09-24	35.7	A
USGS	11519500	2019-09-25	36.2	A
USGS	11519500	2019-09-26	35.4	A
USGS	11519500	2019-09-27	34.8	A
USGS	11519500	2019-09-28	37.8	A
USGS	11519500	2019-09-29	40.2	A
USGS	11519500	2019-09-30	41.7	A
USGS	11519500	2019-10-01	42.8	A
USGS	11519500	2019-10-02	44.0	A
USGS	11519500	2019-10-03	43.6	A
USGS	11519500	2019-10-04	43.5	A
USGS	11519500	2019-10-05	43.7	A
USGS	11519500	2019-10-06	44.4	A
USGS	11519500	2019-10-07	44.9	A
USGS	11519500	2019-10-08	45.4	A
USGS	11519500	2019-10-09	45.7	A
USGS	11519500	2019-10-10	46.4	A
USGS	11519500	2019-10-11	47.2	A
USGS	11519500	2019-10-12	47.5	A
USGS	11519500	2019-10-13	48.0	A
USGS	11519500	2019-10-14	47.1	A
USGS	11519500	2019-10-15	47.1	A
USGS	11519500	2019-10-16	47.3	A
USGS	11519500	2019-10-17	47.4	A
USGS	11519500	2019-10-18	49.0	A
USGS	11519500	2019-10-19	52.2	A
USGS	11519500	2019-10-20	52.8	A
USGS	11519500	2019-10-21	52.8	A
USGS	11519500	2019-10-22	51.0	A
USGS	11519500	2019-10-23	52.2	A
USGS	11519500	2019-10-24	52.6	A
USGS	11519500	2019-10-25	53.3	A
USGS	11519500	2019-10-26	54.6	A
USGS	11519500	2019-10-27	54.3	A
USGS	11519500	2019-10-28	54.6	A
USGS	11519500	2019-10-29	54.5	A
USGS	11519500	2019-10-30	53.7	A
USGS	11519500	2019-10-31	54.3	A
USGS	11519500	2019-11-01	54.8	A
USGS	11519500	2019-11-02	55.6	A
USGS	11519500	2019-11-03	55.9	A
USGS	11519500	2019-11-04	55.5	A
USGS	11519500	2019-11-05	54.8	A
USGS	11519500	2019-11-06	56.2	A
USGS	11519500	2019-11-07	55.8	A
USGS	11519500	2019-11-08	55.0	A
USGS	11519500	2019-11-09	56.4	A
USGS	11519500	2019-11-10	56.7	A
USGS	11519500	2019-11-11	56.7	A
USGS	11519500	2019-11-12	56.7	A
USGS	11519500	2019-11-13	56.6	A
USGS	11519500	2019-11-14	56.5	A
USGS	11519500	2019-11-15	54.7	A
USGS	11519500	2019-11-16	52.9	A
USGS	11519500	2019-11-17	53.5	A
USGS	11519500	2019-11-18	54.8	A
USGS	11519500	2019-11-19	55.5	A
USGS	11519500	2019-11-20	55.0	A
USGS	11519500	2019-11-21	54.8	A
USGS	11519500	2019-11-22	55.0	A
USGS	11519500	2019-11-23	55.6	A
USGS	11519500	2019-11-24	56.7	A
USGS	11519500	2019-11-25	56.7	A
USGS	11519500	2019-11-26	59.0	A
USGS	11519500	2019-11-27	60.3	A
USGS	11519500	2019-11-28	59.4	A
USGS	11519500	2019-11-29	58.8	A
USGS	11519500	2019-11-30	58.9	A
USGS	11519500	2019-12-01	60.5	A
USGS	11519500	2019-12-02	59.8	A
USGS	11519500	2019-12-03	59.9	A
USGS	11519500	2019-12-04	61.2	A
USGS	11519500	2019-12-05	61.7	A
USGS	11519500	2019-12-06	63.8	A
USGS	11519500	2019-12-07	77.2	A
USGS	11519500	2019-12-08	273	A
USGS	11519500	2019-12-09	197	A
USGS	11519500	2019-12-10	150	A
USGS	11519500	2019-12-11	127	A
USGS	11519500	2019-12-12	142	A
USGS	11519500	2019-12-13	244	A
USGS	11519500	2019-12-14	321	A
USGS	11519500	2019-12-15	252	A
USGS	11519500	2019-12-16	196	A
USGS	11519500	2019-12-17	165	A
USGS	11519500	2019-12-18	149	A
USGS	11519500	2019-12-19	141	A
USGS	11519500	2019-12-20	166	A
USGS	11519500	2019-12-21	190	A
USGS	11519500	2019-12-22	184	A
USGS	11519500	2019-12-23	165	A
USGS	11519500	2019-12-24	149	A
USGS	11519500	2019-12-25	137	A
USGS	11519500	2019-12-26	128	A
USGS	11519500	2019-12-27	121	A
USGS	11519500	2019-12-28	115	A
USGS	11519500	2019-12-29	113	A
USGS	11519500	2019-12-30	110	A
USGS	11519500	2019-12-31	108	A
USGS	11519500	2020-01-01	112	A
USGS	11519500	2020-01-02	125	A
USGS	11519500	2020-01-03	131	A
USGS	11519500	2020-01-04	131	A
USGS	11519500	2020-01-05	129	A
USGS	11519500	2020-01-06	123	A
USGS	11519500	2020-01-07	122	A
USGS	11519500	2020-01-08	121	A
USGS	11519500	2020-01-09	119	A
USGS	11519500	2020-01-10	115	A
USGS	11519500	2020-01-11	115	A
USGS	11519500	2020-01-12	117	A
USGS	11519500	2020-01-13	117	A
USGS	11519500	2020-01-14	122	A
USGS	11519500	2020-01-15	122	A
USGS	11519500	2020-01-16	130	A
USGS	11519500	2020-01-17	129	A
USGS	11519500	2020-01-18	126	A
USGS	11519500	2020-01-19	124	A
USGS	11519500	2020-01-20	126	A
USGS	11519500	2020-01-21	130	A
USGS	11519500	2020-01-22	136	A
USGS	11519500	2020-01-23	146	A
USGS	11519500	2020-01-24	247	A
USGS	11519500	2020-01-25	449	A
USGS	11519500	2020-01-26	1400	A
USGS	11519500	2020-01-27	1210	A
USGS	11519500	2020-01-28	906	A
USGS	11519500	2020-01-29	772	A
USGS	11519500	2020-01-30	657	A
USGS	11519500	2020-01-31	608	A
USGS	11519500	2020-02-01	563	A
USGS	11519500	2020-02-02	535	A
USGS	11519500	2020-02-03	496	A
USGS	11519500	2020-02-04	449	A
USGS	11519500	2020-02-05	419	A
USGS	11519500	2020-02-06	398	A
USGS	11519500	2020-02-07	374	A
USGS	11519500	2020-02-08	360	A
USGS	11519500	2020-02-09	345	A
USGS	11519500	2020-02-10	330	A
USGS	11519500	2020-02-11	317	A
USGS	11519500	2020-02-12	306	A
USGS	11519500	2020-02-13	298	A
USGS	11519500	2020-02-14	289	A
USGS	11519500	2020-02-15	281	A
USGS	11519500	2020-02-16	273	A
USGS	11519500	2020-02-17	268	A
USGS	11519500	2020-02-18	261	A
USGS	11519500	2020-02-19	253	A
USGS	11519500	2020-02-20	246	A
USGS	11519500	2020-02-21	240	A
USGS	11519500	2020-02-22	233	A
USGS	11519500	2020-02-23	227	A
USGS	11519500	2020-02-24	222	A
USGS	11519500	2020-02-25	219	A
USGS	11519500	2020-02-26	219	A
USGS	11519500	2020-02-27	221	A
USGS	11519500	2020-02-28	224	A
USGS	11519500	2020-02-29	226	A
USGS	11519500	2020-03-01	224	A
USGS	11519500	2020-03-02	218	A
USGS	11519500	2020-03-03	214	A
USGS	11519500	2020-03-04	214	A
USGS	11519500	2020-03-05	216	A
USGS	11519500	2020-03-06	218	A
USGS	11519500	2020-03-07	223	A
USGS	11519500	2020-03-08	228	A
USGS	11519500	2020-03-09	223	A
USGS	11519500	2020-03-10	218	A
USGS	11519500	2020-03-11	209	A
USGS	11519500	2020-03-12	204	A
USGS	11519500	2020-03-13	201	A
USGS	11519500	2020-03-14	203	A
USGS	11519500	2020-03-15	209	A
USGS	11519500	2020-03-16	213	A
USGS	11519500	2020-03-17	215	A
USGS	11519500	2020-03-18	214	A
USGS	11519500	2020-03-19	205	A
USGS	11519500	2020-03-20	194	A
USGS	11519500	2020-03-21	188	A
USGS	11519500	2020-03-22	187	A
USGS	11519500	2020-03-23	186	A
USGS	11519500	2020-03-24	183	A
USGS	11519500	2020-03-25	181	A
USGS	11519500	2020-03-26	178	A
USGS	11519500	2020-03-27	174	A
USGS	11519500	2020-03-28	168	A
USGS	11519500	2020-03-29	164	A
USGS	11519500	2020-03-30	167	A
USGS	11519500	2020-03-31	181	A
USGS	11519500	2020-04-01	208	A
USGS	11519500	2020-04-02	195	A
USGS	11519500	2020-04-03	170	A
USGS	11519500	2020-04-04	161	A
USGS	11519500	2020-04-05	162	A
USGS	11519500	2020-04-06	173	A
USGS	11519500	2020-04-07	167	A
USGS	11519500	2020-04-08	157	A
USGS	11519500	2020-04-09	158	A
USGS	11519500	2020-04-10	171	A
USGS	11519500	2020-04-11	200	A
USGS	11519500	2020-04-12	241	A
USGS	11519500	2020-04-13	272	A
USGS	11519500	2020-04-14	260	A
USGS	11519500	2020-04-15	252	A
USGS	11519500	2020-04-16	261	A
USGS	11519500	2020-04-17	262	A
USGS	11519500	2020-04-18	265	A
USGS	11519500	2020-04-19	267	A
USGS	11519500	2020-04-20	268	A
USGS	11519500	2020-04-21	267	A
USGS	11519500	2020-04-22	286	A
USGS	11519500	2020-04-23	491	A
USGS	11519500	2020-04-24	553	A
USGS	11519500	2020-04-25	559	A
USGS	11519500	2020-04-26	568	A
USGS	11519500	2020-04-27	566	A
USGS	11519500	2020-04-28	552	A
USGS	11519500	2020-04-29	625	A
USGS	11519500	2020-04-30	734	A
USGS	11519500	2020-05-01	619	A
USGS	11519500	2020-05-02	530	A
USGS	11519500	2020-05-03	576	A
USGS	11519500	2020-05-04	493	A
USGS	11519500	2020-05-05	421	A
USGS	11519500	2020-05-06	392	A
USGS	11519500	2020-05-07	370	A
USGS	11519500	2020-05-08	347	A
USGS	11519500	2020-05-09	347	A
USGS	11519500	2020-05-10	384	A
USGS	11519500	2020-05-11	409	A
USGS	11519500	2020-05-12	389	A
USGS	11519500	2020-05-13	392	A
USGS	11519500	2020-05-14	397	A
USGS	11519500	2020-05-15	386	A
USGS	11519500	2020-05-16	353	A
USGS	11519500	2020-05-17	445	A
USGS	11519500	2020-05-18	640	A
USGS	11519500	2020-05-19	637	A
USGS	11519500	2020-05-20	547	A
USGS	11519500	2020-05-21	472	A
USGS	11519500	2020-05-22	423	A
USGS	11519500	2020-05-23	385	A
USGS	11519500	2020-05-24	350	A
USGS	11519500	2020-05-25	330	A
USGS	11519500	2020-05-26	328	A
USGS	11519500	2020-05-27	353	A
USGS	11519500	2020-05-28	364	A
USGS	11519500	2020-05-29	380	A
USGS	11519500	2020-05-30	387	A
USGS	11519500	2020-05-31	517	A
USGS	11519500	2020-06-01	483	A
USGS	11519500	2020-06-02	421	A
USGS	11519500	2020-06-03	369	A
USGS	11519500	2020-06-04	329	A
USGS	11519500	2020-06-05	296	A
USGS	11519500	2020-06-06	271	A
USGS	11519500	2020-06-07	259	A
USGS	11519500	2020-06-08	252	A
USGS	11519500	2020-06-09	241	A
USGS	11519500	2020-06-10	227	A
USGS	11519500	2020-06-11	208	A
USGS	11519500	2020-06-12	187	A
USGS	11519500	2020-06-13	190	A
USGS	11519500	2020-06-14	194	A
USGS	11519500	2020-06-15	182	A
USGS	11519500	2020-06-16	170	A
USGS	11519500	2020-06-17	154	A
USGS	11519500	2020-06-18	137	A
USGS	11519500	2020-06-19	128	A
USGS	11519500	2020-06-20	119	A
USGS	11519500	2020-06-21	107	A
USGS	11519500	2020-06-22	96.5	A
USGS	11519500	2020-06-23	86.5	A
USGS	11519500	2020-06-24	78.3	A
USGS	11519500	2020-06-25	71.1	A
USGS	11519500	2020-06-26	63.1	A
USGS	11519500	2020-06-27	57.6	A
USGS	11519500	2020-06-28	53.3	A
USGS	11519500	2020-06-29	50.2	A
USGS	11519500	2020-06-30	45.6	A
USGS	11519500	2020-07-01	39.8	A
USGS	11519500	2020-07-02	34.3	A
USGS	11519500	2020-07-03	29.3	A
USGS	11519500	2020-07-04	25.4	A
USGS	11519500	2020-07-05	21.9	A
USGS	11519500	2020-07-06	21.0	A
USGS	11519500	2020-07-07	21.0	A
USGS	11519500	2020-07-08	19.8	A
USGS	11519500	2020-07-09	18.1	A
USGS	11519500	2020-07-10	16.9	A
USGS	11519500	2020-07-11	16.2	A
USGS	11519500	2020-07-12	16.1	A
USGS	11519500	2020-07-13	15.6	A
USGS	11519500	2020-07-14	15.0	A
USGS	11519500	2020-07-15	14.3	A
USGS	11519500	2020-07-16	13.6	A
USGS	11519500	2020-07-17	14.2	A
USGS	11519500	2020-07-18	14.9	A
USGS	11519500	2020-07-19	15.1	A
USGS	11519500	2020-07-20	15.0	A
USGS	11519500	2020-07-21	15.2	A
USGS	11519500	2020-07-22	15.5	A
USGS	11519500	2020-07-23	15.3	A
USGS	11519500	2020-07-24	14.5	A
USGS	11519500	2020-07-25	14.0	A
USGS	11519500	2020-07-26	14.8	A
USGS	11519500	2020-07-27	14.9	A
USGS	11519500	2020-07-28	15.0	A
USGS	11519500	2020-07-29	14.5	A
USGS	11519500	2020-07-30	14.1	A
USGS	11519500	2020-07-31	13.2	A
USGS	11519500	2020-08-01	12.4	A
USGS	11519500	2020-08-02	12.8	A
USGS	11519500	2020-08-03	12.4	A
USGS	11519500	2020-08-04	12.2	A
USGS	11519500	2020-08-05	12.1	A
USGS	11519500	2020-08-06	12.2	A
USGS	11519500	2020-08-07	11.5	A
USGS	11519500	2020-08-08	11.0	A
USGS	11519500	2020-08-09	11.2	A
USGS	11519500	2020-08-10	11.0	A
USGS	11519500	2020-08-11	11.1	A
USGS	11519500	2020-08-12	11.1	A
USGS	11519500	2020-08-13	10.2	A
USGS	11519500	2020-08-14	9.49	A
USGS	11519500	2020-08-15	9.64	A
USGS	11519500	2020-08-16	10.0	A
USGS	11519500	2020-08-17	9.94	A
USGS	11519500	2020-08-18	9.50	A
USGS	11519500	2020-08-19	7.24	A
USGS	11519500	2020-08-20	6.37	A
USGS	11519500	2020-08-21	5.62	A
USGS	11519500	2020-08-22	5.83	A
USGS	11519500	2020-08-23	5.91	A
USGS	11519500	2020-08-24	7.29	A
USGS	11519500	2020-08-25	8.23	A
USGS	11519500	2020-08-26	7.92	A
USGS	11519500	2020-08-27	7.37	A
USGS	11519500	2020-08-28	6.74	A
USGS	11519500	2020-08-29	6.97	A
USGS	11519500	2020-08-30	7.36	A
USGS	11519500	2020-08-31	5.16	A
USGS	11519500	2020-09-01	6.48	A
USGS	11519500	2020-09-02	5.54	A
USGS	11519500	2020-09-03	4.92	A
USGS	11519500	2020-09-04	4.69	A
USGS	11519500	2020-09-05	4.22	A
USGS	11519500	2020-09-06	5.76	A
USGS	11519500	2020-09-07	4.44	A
USGS	11519500	2020-09-08	3.93	A
USGS	11519500	2020-09-09	6.36	A
USGS	11519500	2020-09-10	4.71	A
USGS	11519500	2020-09-11	4.93	A
USGS	11519500	2020-09-12	7.30	A
USGS	11519500	2020-09-13	7.29	A
USGS	11519500	2020-09-14	5.37	A
USGS	11519500	2020-09-15	7.36	A
USGS	11519500	2020-09-16	7.62	A
USGS	11519500	2020-09-17	7.69	A
USGS	11519500	2020-09-18	5.63	A
USGS	11519500	2020-09-19	6.75	A
USGS	11519500	2020-09-20	8.14	A
USGS	11519500	2020-09-21	8.05	A
USGS	11519500	2020-09-22	8.31	A
USGS	11519500	2020-09-23	7.94	A
USGS	11519500	2020-09-24	5.85	A
USGS	11519500	2020-09-25	6.17	A
USGS	11519500	2020-09-26	7.11	A
USGS	11519500	2020-09-27	5.47	A
USGS	11519500	2020-09-28	7.03	A
USGS	11519500	2020-09-29	7.10	A
USGS	11519500	2020-09-30	7.28	A
USGS	11519500	2020-10-01	7.33	A
USGS	11519500	2020-10-02	7.09	A
USGS	11519500	2020-10-03	5.60	A
USGS	11519500	2020-10-04	5.71	A
USGS	11519500	2020-10-05	7.68	A
USGS	11519500	2020-10-06	7.78	A
USGS	11519500	2020-10-07	7.53	A
USGS	11519500	2020-10-08	7.45	A
USGS	11519500	2020-10-09	6.85	A
USGS	11519500	2020-10-10	5.06	A
